LandisData	"Ecoregions"		

>> 	Map Code		
>>Active	Name	Description
>>--------------------------------------------------------			
no	0	CLIM0	inactive
yes	1	CLIM0001	1
yes	2	CLIM0002	2
yes	3	CLIM0003	3
yes	4	CLIM0004	1
yes	5	CLIM0005	2
yes	6	CLIM0006	3
yes	7	CLIM0007	1
yes	8	CLIM0008	2
yes	9	CLIM0009	3
yes	10	CLIM0010	1
yes	11	CLIM0011	2
yes	12	CLIM0012	3
yes	13	CLIM0013	1
yes	14	CLIM0014	2
yes	15	CLIM0015	3
yes	16	CLIM0016	1
yes	17	CLIM0017	2
yes	18	CLIM0018	3
yes	19	CLIM0019	1
yes	20	CLIM0020	2
yes	21	CLIM0021	3
yes	22	CLIM0022	1
yes	23	CLIM0023	2
yes	24	CLIM0024	3
yes	25	CLIM0025	1
yes	26	CLIM0026	2
yes	27	CLIM0027	3
yes	28	CLIM0028	1
yes	29	CLIM0029	2
yes	30	CLIM0030	3
yes	31	CLIM0031	1
yes	32	CLIM0032	2
yes	33	CLIM0033	3
yes	34	CLIM0034	1
yes	35	CLIM0035	2
yes	36	CLIM0036	3
yes	37	CLIM0037	1
yes	38	CLIM0038	2
yes	39	CLIM0039	3
yes	40	CLIM0040	1
yes	41	CLIM0041	2
yes	42	CLIM0042	3
yes	43	CLIM0043	1
yes	44	CLIM0044	2
yes	45	CLIM0045	3
yes	46	CLIM0046	1
yes	47	CLIM0047	2
yes	48	CLIM0048	3
yes	49	CLIM0049	1
yes	50	CLIM0050	2
yes	51	CLIM0051	3
yes	52	CLIM0052	1
yes	53	CLIM0053	2
yes	54	CLIM0054	3
yes	55	CLIM0055	1
yes	56	CLIM0056	2
yes	57	CLIM0057	3
yes	58	CLIM0058	1
yes	59	CLIM0059	2
yes	60	CLIM0060	3
yes	61	CLIM0061	1
yes	62	CLIM0062	2
yes	63	CLIM0063	3
yes	64	CLIM0064	1
yes	65	CLIM0065	2
yes	66	CLIM0066	3
yes	67	CLIM0067	1
yes	68	CLIM0068	2
yes	69	CLIM0069	3
yes	70	CLIM0070	1
yes	71	CLIM0071	2
yes	72	CLIM0072	3
yes	73	CLIM0073	1
yes	74	CLIM0074	2
yes	75	CLIM0075	3
yes	76	CLIM0076	1
yes	77	CLIM0077	2
yes	78	CLIM0078	3
yes	79	CLIM0079	1
yes	80	CLIM0080	2
yes	81	CLIM0081	3
yes	82	CLIM0082	1
yes	83	CLIM0083	2
yes	84	CLIM0084	3
yes	85	CLIM0085	1
yes	86	CLIM0086	2
yes	87	CLIM0087	3
yes	88	CLIM0088	1
yes	89	CLIM0089	2
yes	90	CLIM0090	3
yes	91	CLIM0091	1
yes	92	CLIM0092	2
yes	93	CLIM0093	3
yes	94	CLIM0094	1
yes	95	CLIM0095	2
yes	96	CLIM0096	3
yes	97	CLIM0097	1
yes	98	CLIM0098	2
yes	99	CLIM0099	3
yes	100	CLIM0100	1
yes	101	CLIM0101	2
yes	102	CLIM0102	3
yes	103	CLIM0103	1
yes	104	CLIM0104	2
yes	105	CLIM0105	3
yes	106	CLIM0106	1
yes	107	CLIM0107	2
yes	108	CLIM0108	3
yes	109	CLIM0109	1
yes	110	CLIM0110	2
yes	111	CLIM0111	3
yes	112	CLIM0112	1
yes	113	CLIM0113	2
yes	114	CLIM0114	3
yes	115	CLIM0115	1
yes	116	CLIM0116	2
yes	117	CLIM0117	3
yes	118	CLIM0118	1
yes	119	CLIM0119	2
yes	120	CLIM0120	3
yes	121	CLIM0121	1
yes	122	CLIM0122	2
yes	123	CLIM0123	3
yes	124	CLIM0124	1
yes	125	CLIM0125	2
yes	126	CLIM0126	3
yes	127	CLIM0127	1
yes	128	CLIM0128	2
yes	129	CLIM0129	3
yes	130	CLIM0130	1
yes	131	CLIM0131	2
yes	132	CLIM0132	3
yes	133	CLIM0133	1
yes	134	CLIM0134	2
yes	135	CLIM0135	3
yes	136	CLIM0136	1
yes	137	CLIM0137	2
yes	138	CLIM0138	3
yes	139	CLIM0139	1
yes	140	CLIM0140	2
yes	141	CLIM0141	3
yes	142	CLIM0142	1
yes	143	CLIM0143	2
yes	144	CLIM0144	3
yes	145	CLIM0145	1
yes	146	CLIM0146	2
yes	147	CLIM0147	3
yes	148	CLIM0148	1
yes	149	CLIM0149	2
yes	150	CLIM0150	3
yes	151	CLIM0151	1
yes	152	CLIM0152	2
yes	153	CLIM0153	3
yes	154	CLIM0154	1
yes	155	CLIM0155	2
yes	156	CLIM0156	3
yes	157	CLIM0157	1
yes	158	CLIM0158	2
yes	159	CLIM0159	3
yes	160	CLIM0160	1
yes	161	CLIM0161	2
yes	162	CLIM0162	3
yes	163	CLIM0163	1
yes	164	CLIM0164	2
yes	165	CLIM0165	3
yes	166	CLIM0166	1
yes	167	CLIM0167	2
yes	168	CLIM0168	3
yes	169	CLIM0169	1
yes	170	CLIM0170	2
yes	171	CLIM0171	3
yes	172	CLIM0172	1
yes	173	CLIM0173	2
yes	174	CLIM0174	3
yes	175	CLIM0175	1
yes	176	CLIM0176	2
yes	177	CLIM0177	3
yes	178	CLIM0178	1
yes	179	CLIM0179	2
yes	180	CLIM0180	3
yes	181	CLIM0181	1
yes	182	CLIM0182	2
yes	183	CLIM0183	3
yes	184	CLIM0184	1
yes	185	CLIM0185	2
yes	186	CLIM0186	3
yes	187	CLIM0187	1
yes	188	CLIM0188	2
yes	189	CLIM0189	3
yes	190	CLIM0190	1
yes	191	CLIM0191	2
yes	192	CLIM0192	3
yes	193	CLIM0193	1
yes	194	CLIM0194	2
yes	195	CLIM0195	3
yes	196	CLIM0196	1
yes	197	CLIM0197	2
yes	198	CLIM0198	3
yes	199	CLIM0199	1
yes	200	CLIM0200	2
yes	201	CLIM0201	3
yes	202	CLIM0202	1
yes	203	CLIM0203	2
yes	204	CLIM0204	3
yes	205	CLIM0205	1
yes	206	CLIM0206	2
yes	207	CLIM0207	3
yes	208	CLIM0208	1
yes	209	CLIM0209	2
yes	210	CLIM0210	3
yes	211	CLIM0211	1
yes	212	CLIM0212	2
yes	213	CLIM0213	3
yes	214	CLIM0214	1
yes	215	CLIM0215	2
yes	216	CLIM0216	3
yes	217	CLIM0217	1
yes	218	CLIM0218	2
yes	219	CLIM0219	3
yes	220	CLIM0220	1
yes	221	CLIM0221	2
yes	222	CLIM0222	3
yes	223	CLIM0223	1
yes	224	CLIM0224	2
yes	225	CLIM0225	3
yes	226	CLIM0226	1
yes	227	CLIM0227	2
yes	228	CLIM0228	3
yes	229	CLIM0229	1
yes	230	CLIM0230	2
yes	231	CLIM0231	3
yes	232	CLIM0232	1
yes	233	CLIM0233	2
yes	234	CLIM0234	3
yes	235	CLIM0235	1
yes	236	CLIM0236	2
yes	237	CLIM0237	3
yes	238	CLIM0238	1
yes	239	CLIM0239	2
yes	240	CLIM0240	3
yes	241	CLIM0241	1
yes	242	CLIM0242	2
yes	243	CLIM0243	3
yes	244	CLIM0244	1
yes	245	CLIM0245	2
yes	246	CLIM0246	3
yes	247	CLIM0247	1
yes	248	CLIM0248	2
yes	249	CLIM0249	3
yes	250	CLIM0250	1
yes	251	CLIM0251	2
yes	252	CLIM0252	3
yes	253	CLIM0253	1
yes	254	CLIM0254	2
yes	255	CLIM0255	3
yes	256	CLIM0256	1
yes	257	CLIM0257	2
yes	258	CLIM0258	3
yes	259	CLIM0259	1
yes	260	CLIM0260	2
yes	261	CLIM0261	3
yes	262	CLIM0262	1
yes	263	CLIM0263	2
yes	264	CLIM0264	3
yes	265	CLIM0265	1
yes	266	CLIM0266	2
yes	267	CLIM0267	3
yes	268	CLIM0268	1
yes	269	CLIM0269	2
yes	270	CLIM0270	3
yes	271	CLIM0271	1
yes	272	CLIM0272	2
yes	273	CLIM0273	3
yes	274	CLIM0274	1
yes	275	CLIM0275	2
yes	276	CLIM0276	3
yes	277	CLIM0277	1
yes	278	CLIM0278	2
yes	279	CLIM0279	3
yes	280	CLIM0280	1
yes	281	CLIM0281	2
