Species,Trees_a1,Trees_a2,Trees_a3,DBH_a1,DBH_a2,DBH_a3,Height_a1,Height_a2,Height_a3,Spatial_a1,Spatial_a2,Spatial_a3,Crown_a1,Crown_a2,Crown_a3
AmBeech,57.02,0.814,0.00476,0,0,0,26.83,0.567,0.0037,0,0.0016,0.0762,17.191,0.07,0.0019
BalsamFir,112.8,0.133,0.151,0,0,0,27.35,0.237,0.015,0,0.003,0.2163,9.57,0.025,0.0026
BalsamPoplar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basswood,91.6,-0.302,0.0325,0,0,0,30.7,0.298,0.008,0,0.003,0.2163,11.74,0.104,0.0047
BigToothAspen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BitternutHickory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlackAsh,86.53,1.05,0.079,0,0,0,31,0.27,0.006,0,0.0003,0.1963,10.27,0.052,0.0019
BlackCherry,61.599,-0.017,0.029,0,0,0,21.2,0.52,0.007,0,0.0003,0.1963,12.565,0.078,0.002
BlackOak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlackSpruce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BurOak,105.9,0.226,-0.000487,0,0,0,36.3,0.13,0.003,0,0.0003,0.1963,14.58,0.053,0.004
Butternut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottonwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GreenAsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemlock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hophornbeam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JackPine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PaperBirch,63.2,0.055,0.055,0,0,0,39.9,0.22,0.006,0,0.0075,0.025,12.82,0.058,0.002
PinOak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QuakingAspen,174.76,-0.9084,0.092,0,0,0,28.4,0.45,0.005,0,0.0075,0.025,9.11,0.108,0.00108
RedCedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RedMaple,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015
RedOak,81.95,0.297,0.0027,0,0,0,42.5,0.21,0.003,0,0.0003,0.1963,15.78,0.0657,0.002
RedPine,362.4,-2.52,0.046,0,0,0,24.3,0.5,0.001,0,0.0003,0.1963,9.38,0.083,0.0003
ServiceBerries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShagHickory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SilverMaple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SugarMaple,196,0.113,0.024,0,0,0,35,0.41,0.002,0,0.0016,0.0762,13.57,0.087,0.00093
Tamarack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhiteAsh,99.11,-0.53,0.017,0,0,0,23.5,0.69,0.003,0,0.0003,0.1963,10.5,0.12,0.0027
WhiteCedar,240.466,1.96,0.108,0,0,0,29.815,0.0858,0.0056,0,0.0003,0.1963,9.58,0.01,0.001
WhiteOaks,99.25,0.393,0.000558,0,0,0,32.3,0.31,0.003,0,0.0003,0.1963,14.1,0.08,0.003
WhitePine,144.86,-0.269,0.014,0,0,0,26.2,0.41,0.004,0,0.0003,0.1963,9.26,0.09,0.001
WhiteSpruce,101.36,-0.305,0.1212,0,0,0,26.3,0.28,0.005,0,0.0003,0.1963,10.5,0.04,0.001
Willows,0,0,0,0,0,0,0,0,0,0,0.0003,0.1963,0,0,0
YellowBirch,0,0,0,0,0,0,0,0,0,0,0.0003,0.1963,0,0,0
