,SpeciesName,MapCode,CohortAge,CohortBiomass,Trees_a1,Trees_a2,Trees_a3,DBH_a1,DBH_a2,DBH_a3,Height_a1,Height_a2,Height_a3,Spatial_a1,Spatial_a2,Spatial_a3,Crown_a1,Crown_a2,Crown_a3,number_trees,height,crown_width,spatial_contagion,Age_class
6,BalsamFir,1050066,100,484,112.8,0.133,0.151,0,0,0,27.35,0.237,0.015,0,0.003,0.2163,9.57,0.025,0.0026,199,124,13,0.3,3
10,BalsamFir,1051169,100,484,112.8,0.133,0.151,0,0,0,27.35,0.237,0.015,0,0.003,0.2163,9.57,0.025,0.0026,199,124,13,0.3,3
3,BalsamFir,1050066,110,502,112.8,0.133,0.151,0,0,0,27.35,0.237,0.015,0,0.003,0.2163,9.57,0.025,0.0026,203,129,14,0.33,3
8,BalsamFir,1051169,110,502,112.8,0.133,0.151,0,0,0,27.35,0.237,0.015,0,0.003,0.2163,9.57,0.025,0.0026,203,129,14,0.33,3
1,BalsamFir,1050066,120,512,112.8,0.133,0.151,0,0,0,27.35,0.237,0.015,0,0.003,0.2163,9.57,0.025,0.0026,206,133,14,0.36,3
7,BalsamFir,1051169,120,512,112.8,0.133,0.151,0,0,0,27.35,0.237,0.015,0,0.003,0.2163,9.57,0.025,0.0026,206,133,14,0.36,3
4,BalsamFir,1051169,130,525,112.8,0.133,0.151,0,0,0,27.35,0.237,0.015,0,0.003,0.2163,9.57,0.025,0.0026,209,137,14,0.39,3
5,BalsamFir,1050066,130,525,112.8,0.133,0.151,0,0,0,27.35,0.237,0.015,0,0.003,0.2163,9.57,0.025,0.0026,209,137,14,0.39,3
2,BalsamFir,1051169,140,682,112.8,0.133,0.151,0,0,0,27.35,0.237,0.015,0,0.003,0.2163,9.57,0.025,0.0026,234,164,15,0.42,3
9,BalsamFir,1050066,140,682,112.8,0.133,0.151,0,0,0,27.35,0.237,0.015,0,0.003,0.2163,9.57,0.025,0.0026,234,164,15,0.42,3
11,Basswood,1051169,31,467,91.6,-0.302,0.0325,0,0,0,30.7,0.298,0.008,0,0.003,0.2163,11.74,0.104,0.0047,97,55,17,0.093,1
12,BlackAsh,1051169,90,556,86.53,1.05,0.079,0,0,0,31,0.27,0.006,0,0.0003,0.1963,10.27,0.052,0.0019,225,99,16,0.027,2
14,BlackAsh,1050066,90,551,86.53,1.05,0.079,0,0,0,31,0.27,0.006,0,0.0003,0.1963,10.27,0.052,0.0019,225,99,16,0.027,2
13,BlackAsh,1050066,100,581,86.53,1.05,0.079,0,0,0,31,0.27,0.006,0,0.0003,0.1963,10.27,0.052,0.0019,237,104,17,0.03,3
15,BlackAsh,1051169,100,586,86.53,1.05,0.079,0,0,0,31,0.27,0.006,0,0.0003,0.1963,10.27,0.052,0.0019,238,104,17,0.03,3
20,BlackCherry,1048971,1,10,61.599,-0.017,0.029,0,0,0,21.2,0.52,0.007,0,0.0003,0.1963,12.565,0.078,0.002,62,22,13,0.0003,1
16,BlackCherry,1048971,11,174,61.599,-0.017,0.029,0,0,0,21.2,0.52,0.007,0,0.0003,0.1963,12.565,0.078,0.002,66,32,14,0.0033,1
19,BlackCherry,1051167,11,61,61.599,-0.017,0.029,0,0,0,21.2,0.52,0.007,0,0.0003,0.1963,12.565,0.078,0.002,63,29,14,0.0033,1
17,BlackCherry,1050066,21,259,61.599,-0.017,0.029,0,0,0,21.2,0.52,0.007,0,0.0003,0.1963,12.565,0.078,0.002,69,40,15,0.0063,1
21,BlackCherry,1050066,31,515,61.599,-0.017,0.029,0,0,0,21.2,0.52,0.007,0,0.0003,0.1963,12.565,0.078,0.002,76,52,16,0.0093,1
18,BlackCherry,1048971,80,3695,61.599,-0.017,0.029,0,0,0,21.2,0.52,0.007,0,0.0003,0.1963,12.565,0.078,0.002,167,170,26,0.024,2
22,BurOak,1048971,11,3,105.9,0.226,-0.000487,0,0,0,36.3,0.13,0.003,0,0.0003,0.1963,14.58,0.053,0.004,108,38,15,0.0033,1
23,BurOak,1050066,11,3,105.9,0.226,-0.000487,0,0,0,36.3,0.13,0.003,0,0.0003,0.1963,14.58,0.053,0.004,108,38,15,0.0033,1
24,BurOak,1048971,70,2016,105.9,0.226,-0.000487,0,0,0,36.3,0.13,0.003,0,0.0003,0.1963,14.58,0.053,0.004,121,44,26,0.021,1
29,PaperBirch,1048971,60,891,63.2,0.055,0.055,0,0,0,39.9,0.22,0.006,0,0.0075,0.025,12.82,0.058,0.002,116,102,18,0.45,2
26,PaperBirch,1048971,70,2208,63.2,0.055,0.055,0,0,0,39.9,0.22,0.006,0,0.0075,0.025,12.82,0.058,0.002,188,177,21,0.525,2
25,PaperBirch,1051168,90,1071,63.2,0.055,0.055,0,0,0,39.9,0.22,0.006,0,0.0075,0.025,12.82,0.058,0.002,127,119,20,0.675,3
28,PaperBirch,1051167,90,734,63.2,0.055,0.055,0,0,0,39.9,0.22,0.006,0,0.0075,0.025,12.82,0.058,0.002,109,100,20,0.675,3
30,PaperBirch,1050064,90,732,63.2,0.055,0.055,0,0,0,39.9,0.22,0.006,0,0.0075,0.025,12.82,0.058,0.002,108,100,20,0.675,3
31,PaperBirch,1050065,90,1072,63.2,0.055,0.055,0,0,0,39.9,0.22,0.006,0,0.0075,0.025,12.82,0.058,0.002,127,119,20,0.675,3
27,PaperBirch,1051169,120,696,63.2,0.055,0.055,0,0,0,39.9,0.22,0.006,0,0.0075,0.025,12.82,0.058,0.002,108,105,21,0.9,3
32,PaperBirch,1050066,120,696,63.2,0.055,0.055,0,0,0,39.9,0.22,0.006,0,0.0075,0.025,12.82,0.058,0.002,108,105,21,0.9,3
36,QuakingAspen,1048971,80,781,174.76,-0.9084,0.092,0,0,0,28.4,0.45,0.005,0,0.0075,0.025,9.11,0.108,0.00108,174,136,19,0.6,3
33,QuakingAspen,1051168,90,141,174.76,-0.9084,0.092,0,0,0,28.4,0.45,0.005,0,0.0075,0.025,9.11,0.108,0.00108,106,82,19,0.675,3
34,QuakingAspen,1051167,90,69,174.76,-0.9084,0.092,0,0,0,28.4,0.45,0.005,0,0.0075,0.025,9.11,0.108,0.00108,99,75,19,0.675,3
35,QuakingAspen,1050065,90,141,174.76,-0.9084,0.092,0,0,0,28.4,0.45,0.005,0,0.0075,0.025,9.11,0.108,0.00108,106,82,19,0.675,3
37,QuakingAspen,1050064,90,69,174.76,-0.9084,0.092,0,0,0,28.4,0.45,0.005,0,0.0075,0.025,9.11,0.108,0.00108,99,75,19,0.675,3
57,RedMaple,1048971,1,5,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,139,31,13,0.0016,1
44,RedMaple,1048970,11,4,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,138,36,14,0.0176,1
52,RedMaple,1048971,11,5,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,138,36,14,0.0176,1
38,RedMaple,1048969,41,101,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,138,52,16,0.0656,2
54,RedMaple,1048971,80,1174,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,167,102,22,0.128,2
40,RedMaple,1051167,90,452,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,144,84,21,0.144,2
41,RedMaple,1051169,90,596,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,149,89,22,0.144,2
42,RedMaple,1050066,90,590,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,148,88,22,0.144,2
45,RedMaple,1050064,90,450,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,144,84,21,0.144,2
49,RedMaple,1051168,90,887,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,158,98,22,0.144,2
53,RedMaple,1050065,90,892,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,158,98,22,0.144,2
