,SpeciesName,MapCode,CohortAge,CohortBiomass,number_trees,height,crown_width,spatial_contagion,Age_class
3,BalsamFir,1051169,1,2,113,28,10,0.003,1
4,BalsamFir,1050066,1,2,113,28,10,0.003,1
14,BalsamFir,1048969,1,2,113,28,10,0.003,1
2,BalsamFir,1048970,11,2,115,30,10,0.033,1
7,BalsamFir,1051168,11,2,115,30,10,0.033,1
10,BalsamFir,1050064,31,2,117,35,10,0.093,1
1,BalsamFir,1051167,41,50,126,45,11,0.123,2
11,BalsamFir,1050066,100,550,209,134,14,0.3,3
17,BalsamFir,1051169,100,564,211,136,14,0.3,3
9,BalsamFir,1050066,110,571,214,140,14,0.33,3
16,BalsamFir,1051169,110,585,216,142,14,0.33,3
6,BalsamFir,1050066,120,584,217,144,14,0.36,3
15,BalsamFir,1051169,120,599,219,146,14,0.36,3
12,BalsamFir,1050066,130,598,220,148,14,0.39,3
13,BalsamFir,1051169,130,613,223,151,14,0.39,3
5,BalsamFir,1051169,140,765,247,176,15,0.42,3
8,BalsamFir,1050066,140,747,244,173,15,0.42,3
19,BlackAsh,1050066,90,582,227,101,16,0.027,3
21,BlackAsh,1051169,90,634,231,105,16,0.027,3
18,BlackAsh,1051169,100,666,244,111,17,0.03,3
20,BlackAsh,1050066,100,612,240,106,17,0.03,3
23,BlackCherry,1048971,11,110,65,30,14,0.0033,1
24,BlackCherry,1051167,41,530,76,58,17,0.0123,2
25,BlackCherry,1048971,41,996,90,71,18,0.0123,2
22,BlackCherry,1048971,80,2791,141,144,24,0.024,3
26,BurOak,1048971,70,1991,121,44,26,0.021,3
31,PaperBirch,1048971,60,892,116,102,18,0.45,3
29,PaperBirch,1048971,70,2111,183,171,21,0.525,3
28,PaperBirch,1050064,90,858,115,107,20,0.675,3
30,PaperBirch,1051168,90,1037,125,117,20,0.675,3
33,PaperBirch,1050065,90,1037,125,117,20,0.675,3
34,PaperBirch,1051167,90,859,115,107,20,0.675,3
27,PaperBirch,1050066,120,616,104,100,21,0.9,3
32,PaperBirch,1051169,120,628,104,101,21,0.9,3
37,QuakingAspen,1048971,80,764,172,135,19,0.6,3
35,QuakingAspen,1050064,90,76,100,76,19,0.675,3
36,QuakingAspen,1051167,90,76,100,76,19,0.675,3
38,QuakingAspen,1050065,90,137,106,82,19,0.675,3
39,QuakingAspen,1051168,90,137,106,82,19,0.675,3
45,RedMaple,1048971,21,75,139,42,15,0.0336,2
65,RedMaple,1050066,31,119,139,48,16,0.0496,3
66,RedMaple,1051169,31,137,140,49,16,0.0496,3
41,RedMaple,1048971,41,569,152,66,17,0.0656,3
42,RedMaple,1050064,41,137,139,53,17,0.0656,3
56,RedMaple,1050066,41,261,143,57,17,0.0656,3
47,RedMaple,1048971,80,1449,176,110,22,0.128,3
40,RedMaple,1050066,90,615,149,89,22,0.144,3
43,RedMaple,1051169,90,666,151,91,22,0.144,3
60,RedMaple,1051167,90,602,149,89,22,0.144,3
62,RedMaple,1050064,90,599,149,89,22,0.144,3
63,RedMaple,1050065,90,1128,165,105,23,0.144,3
64,RedMaple,1051168,90,1124,165,105,22,0.144,3
49,RedMaple,1051169,100,876,156,102,23,0.16,3
50,RedMaple,1050066,100,816,155,100,23,0.16,3
51,RedMaple,1051167,100,1040,161,107,23,0.16,3
57,RedMaple,1050064,100,1034,161,106,23,0.16,3
58,RedMaple,1050065,100,1564,177,123,24,0.16,3
59,RedMaple,1051168,100,1559,177,123,24,0.16,3
48,RedMaple,1050064,110,2528,206,157,26,0.176,3
52,RedMaple,1050065,110,2539,207,157,26,0.176,3
53,RedMaple,1051167,110,2539,207,157,26,0.176,3
54,RedMaple,1051168,110,2534,206,157,26,0.176,3
46,RedMaple,1050066,120,701,149,105,25,0.192,3
61,RedMaple,1051169,120,755,151,107,25,0.192,3
44,RedMaple,1050066,130,872,154,115,26,0.208,3
55,RedMaple,1051169,130,930,155,116,26,0.208,3
79,RedOak,1048971,1,13,82,43,16,0.0003,1
67,RedOak,1050064,100,8012,133,85,38,0.03,2
69,RedOak,1051168,100,4482,124,76,31,0.03,2
75,RedOak,1051167,100,8041,133,85,38,0.03,2
77,RedOak,1050065,100,4617,124,76,32,0.03,2
68,RedOak,1050064,110,9221,140,90,41,0.033,2
70,RedOak,1050065,110,7171,134,85,37,0.033,2
72,RedOak,1051167,110,9185,139,90,41,0.033,2
74,RedOak,1051168,110,7020,134,85,37,0.033,2
71,RedOak,1050065,120,5404,132,82,34,0.036,2
73,RedOak,1051167,120,6819,136,86,37,0.036,2
76,RedOak,1051168,120,5264,132,82,34,0.036,2
78,RedOak,1050064,120,6840,136,86,37,0.036,2
80,RedPine,1048971,90,2427,247,181,18,0.027,2
